weight_true,max_stress_true,max_disp_true,weight_mean,weight_std,max_stress_mean,max_stress_std,max_disp_mean,max_disp_std
8060.536,32615.934,3.7079053,8003.9727,125.5858,31503.506,2198.8794,3.6931207,0.16027808
9145.113,20369.484,3.05486,9053.022,237.66539,22567.588,1710.7899,3.0836194,0.15756905
9044.926,12439.444,2.0150597,8987.825,219.68417,12294.508,1223.5494,2.0311065,0.11279714
7788.654,14748.779,2.1204808,7854.6006,120.3961,15128.861,1185.7177,2.2307177,0.10030589
6891.806,22817.096,3.1986163,6861.715,80.28366,23276.092,1750.9786,3.102477,0.12654893
7107.819,17376.695,3.1777818,7108.94,86.96162,20024.336,1223.4282,3.120609,0.091794826
5796.7456,29784.295,5.021082,5810.5806,157.85556,41328.844,3021.975,5.2836614,0.267613
5153.578,42750.65,5.135318,5143.4663,210.18706,31143.777,4183.392,4.217124,0.3361552
8661.1875,54311.996,4.4078746,8714.546,208.45375,58761.16,9386.649,4.656681,0.50524735
6913.003,40701.016,4.466582,6875.0483,125.05627,41495.188,3764.029,4.72049,0.26534206
9526.627,14665.61,1.7639846,9498.59,286.09958,12942.209,1892.9574,1.8526992,0.1503997
6319.472,15715.835,2.975461,6342.8,130.0321,15125.869,1194.3666,2.829287,0.1261069
8897.772,39474.34,4.0799766,8794.602,217.11278,39335.72,3254.0881,3.7127554,0.1880887
5706.1035,28472.996,4.8628,5743.3906,156.97719,29558.732,1964.9161,4.5598593,0.26123875
7960.4937,22998.953,2.7895906,8035.538,134.0789,24048.67,1853.7654,2.8046246,0.1221025
7628.173,17602.506,2.5423722,7659.3887,80.55077,16920.043,1098.8585,2.603637,0.06670523
9945.322,27558.605,2.7372658,9872.63,379.25073,27398.277,2243.2434,2.7507718,0.18547168
7616.0747,10873.75,2.208159,7697.5024,109.46879,10927.45,918.9007,2.0393128,0.09366043
5307.3765,66786.84,5.924212,5352.297,181.95966,76132.77,11639.015,6.6504626,0.690865
9067.372,29457.12,3.1292233,9055.365,249.40218,27872.025,1974.6288,3.0157104,0.13736832
6610.5156,29369.686,3.1572394,6650.2227,97.366295,28689.777,2850.1035,3.2783294,0.1911635
7555.229,20346.205,2.90588,7581.386,85.01746,23063.588,1325.035,3.066659,0.10564322
6102.271,56817.16,5.0680995,6124.647,137.0795,51490.836,4856.0264,5.138006,0.3019063
7009.535,12024.59,2.3648624,6987.6333,97.99202,12990.517,962.2974,2.308512,0.09533597
8004.879,15673.029,2.34301,8100.0376,111.27035,15110.992,1422.6014,2.3726282,0.10343449
6403.578,34579.133,4.485135,6357.3755,105.918106,35142.168,2347.07,4.1605773,0.16021332
6342.6997,25168.38,3.4566407,6363.549,111.6067,21831.793,1362.9448,3.4394858,0.10173085
4987.9155,65091.5,6.953056,4934.852,210.98178,101136.91,34753.477,7.9489202,1.6692532
6464.542,57920.69,5.501033,6528.6816,122.97183,53733.406,8803.919,5.6562057,0.8036899
5572.32,15164.828,2.581897,5568.9756,210.59631,15840.841,1426.7819,2.7359958,0.14009763
6119.4443,62428.75,7.868994,6105.6123,157.16899,64385.87,5820.501,7.5238814,0.6573896
10323.333,13547.2,1.6690404,10207.446,423.63412,10517.951,1683.1937,1.5605094,0.16136378
6457.64,27526.283,3.865975,6493.438,104.44585,26625.654,2097.1165,3.7252407,0.15078333
6030.9136,17195.957,3.083643,6030.013,137.46777,18236.87,1374.2087,3.0981638,0.12800623
9148.946,12763.601,2.1483822,9133.055,249.59848,12669.415,1116.4268,2.049226,0.10635096
9061.256,30689.318,3.1341665,9016.966,230.12448,31007.59,2411.4531,3.2154305,0.18405771
7216.497,44149.887,4.194416,7271.463,87.46221,44587.773,3379.7063,4.2859826,0.20596586
7078.7544,16024.853,2.652273,7079.489,77.5211,15722.178,1182.9501,2.6314297,0.08480575
6974.5317,92612.84,8.074472,6983.893,109.18816,88439.18,15066.924,8.268233,1.0688106
9050.279,20363.277,2.8279963,8998.099,218.4369,19683.271,1552.8145,2.6809628,0.12823573
5647.01,70973.99,7.002955,5633.9824,158.54572,68125.6,6967.656,6.710905,0.48122978
7674.219,65474.4,6.7537394,7652.541,131.8824,62234.453,7088.416,6.4901676,0.5804838
5509.0103,14917.562,2.9430497,5575.161,184.02449,18112.043,1546.5078,3.1915042,0.15394852
8305.2295,24967.041,2.9291713,8326.39,122.49901,24378.873,1704.027,2.977917,0.12502684
8184.567,9982.637,1.8866022,8122.661,130.37047,10191.331,890.0858,1.9464638,0.10073989
6431.3247,157734.02,10.707394,6380.9243,167.81973,157908.2,34583.3,14.084896,2.5657694
5678.6694,40442.086,4.64735,5751.4927,152.05663,43539.6,3211.4287,5.030098,0.34487513
9922.703,11071.613,1.79122,9882.617,331.02423,11214.17,1142.6116,1.8281423,0.12976879
6297.75,37057.45,4.492309,6319.756,117.41642,37563.31,2903.9758,4.4108424,0.18049082
7733.527,46798.3,4.8192973,7738.7505,117.58843,49558.785,5594.4077,5.117301,0.45325524
5998.554,48795.19,5.52927,6049.325,134.29935,44604.453,5870.998,5.729789,0.66330737
6784.414,30811.477,4.4829626,6766.076,99.86699,30484.965,2475.6514,4.4227204,0.2412958
8288.206,8906.589,1.9150076,8288.125,168.45856,9665.598,911.2282,1.9032935,0.11199863
7894.3623,25110.705,3.8087592,7904.495,88.50601,30536.738,2049.4778,3.5674872,0.16564843
7122.533,30085.117,3.2589796,7053.583,104.91662,30214.0,5251.0234,3.2617621,0.30113342
6214.3203,18655.092,3.2147603,6326.29,132.15771,20235.834,2502.8137,3.0025995,0.18582743
7866.878,47039.83,4.3550262,7981.3164,112.091324,45468.535,3850.1177,4.17187,0.22204718
9366.004,26070.63,2.834392,9276.41,271.78494,25711.482,2024.6108,2.8635375,0.16442116
7821.589,28746.889,3.200018,7916.3833,109.46771,25890.56,2200.344,3.0205417,0.14531271
4724.1,92065.72,8.656062,4687.185,239.5554,76787.78,9086.972,7.8812075,0.8080361
6555.83,25347.889,2.9562297,6450.152,143.82184,29739.865,5160.0703,3.238967,0.25316164
5719.78,31788.3,4.559035,5762.7456,166.1532,29320.223,2628.5024,4.2165437,0.2806548
7836.767,24067.771,3.109537,7814.7676,98.187904,24052.44,1174.3956,3.096033,0.09121539
6358.666,35648.293,4.9151692,6389.5894,117.55318,33816.996,4505.257,4.6743407,0.4618028
9502.994,6742.205,1.4555495,9404.94,314.9093,8384.544,922.36224,1.5009718,0.13691795
7470.3525,8959.714,1.9106926,7498.0527,101.47403,10754.286,1003.0974,1.9996213,0.101630494
9227.597,19108.818,2.2112694,9145.025,261.7826,17846.04,1454.0287,2.259702,0.121952474
6390.7974,70794.484,6.2770677,6452.32,116.78336,49591.375,6009.931,5.3837643,0.4587304
6122.5137,26326.617,3.565864,6208.4067,112.104675,25017.645,1462.7512,3.558256,0.13706611
5698.8364,29800.38,4.173342,5761.832,186.58293,25678.285,3103.11,4.0606894,0.29873928
5688.9263,25017.22,3.5130255,5653.605,157.36732,24969.89,1963.8844,3.7131126,0.13911434
7894.4053,14149.383,2.2304966,7945.4463,106.50283,13574.19,1280.385,2.2780561,0.096915975
9399.016,12005.112,1.9217302,9302.553,298.44022,12111.66,1306.0907,1.930188,0.1354017
6856.173,14871.533,2.444556,6900.79,115.81796,13065.701,1024.1963,2.3171177,0.114392154
7866.3525,11108.794,2.1178722,7855.608,103.07208,12819.363,1192.1742,2.1723673,0.102998465
6238.871,29788.758,3.51278,6234.1245,120.14265,29784.695,2544.3662,3.4045172,0.17058931
7172.786,14254.25,2.2623055,7152.1177,110.715034,14401.532,1051.8492,2.3197417,0.0875133
8710.711,22544.43,2.309338,8674.036,189.02864,16653.375,2279.724,2.3217354,0.18688491
5842.6133,31834.766,4.202811,5951.9336,152.05676,31161.832,2027.8335,4.2654386,0.16080812
6100.5815,28593.271,3.5172706,6141.5557,122.90893,28512.375,2056.0842,3.6305468,0.14714886
7916.65,24403.736,3.0655289,7988.3325,109.62994,24677.682,2629.1772,3.0150497,0.1577153
5504.796,34910.406,4.7621446,5509.246,191.65671,37142.7,2831.1829,4.778548,0.22812046
6734.8813,10600.94,2.4300466,6692.5005,87.46045,13308.781,1093.7969,2.533618,0.10648391
7429.945,27861.617,3.0679295,7451.158,84.92898,27766.85,1764.4136,3.1855378,0.11548683
